idx,bus_line,bus_line_passage,bus_stop,bus_time,metro_stop,metro_time_from_origin,origin_ref,date
26,Metro,Metro,Portela,07:36:00,Portela do Mondego,10:12:00,Portagem,2026-07-13
27,Metro,Metro,Portela,07:44:00,Portela do Mondego,10:52:00,Portagem,2026-07-13
28,Metro,Metro,Portela,07:54:00,Portela do Mondego,11:32:00,Portagem,2026-07-13
29,Metro,Metro,Portela,08:07:00,Portela do Mondego,12:12:00,Portagem,2026-07-13
30,Metro,Metro,Portela,08:17:00,Portela do Mondego,12:52:00,Portagem,2026-07-13
31,Metro,Metro,Portela,08:27:00,Portela do Mondego,13:32:00,Portagem,2026-07-13
32,Metro,Metro,Portela,08:37:00,Portela do Mondego,14:12:00,Portagem,2026-07-13
33,Metro,Metro,Portela,08:47:00,Portela do Mondego,14:52:00,Portagem,2026-07-13
34,Metro,Metro,Portela,08:57:00,Portela do Mondego,15:32:00,Portagem,2026-07-13
35,Metro,Metro,Portela,09:07:00,Portela do Mondego,16:12:00,Portagem,2026-07-13
36,Metro,Metro,Portela,09:17:00,Portela do Mondego,16:52:00,Portagem,2026-07-13
37,Metro,Metro,Portela,09:27:00,Portela do Mondego,17:32:00,Portagem,2026-07-13
38,Metro,Metro,Portela,09:37:00,Portela do Mondego,18:12:00,Portagem,2026-07-13
39,Metro,Metro,Portela,09:47:00,Portela do Mondego,18:52:00,Portagem,2026-07-13
40,Metro,Metro,Portela,09:57:00,Portela do Mondego,19:32:00,Portagem,2026-07-13
41,Metro,Metro,Portela,10:06:00,Portela do Mondego,20:12:00,Portagem,2026-07-13
42,Metro,Metro,Portela,10:14:00,Portela do Mondego,20:52:00,Portagem,2026-07-13
