service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
3401_20260424,0,0,0,0,1,0,0,20260424,20260424
3401_20260425,1,1,1,1,0,0,1,20260425,20260430
3401_20260501,0,0,0,0,1,0,0,20260501,20260501
3401_20260502,1,1,1,1,0,0,1,20260502,20260507
3401_20260508,0,0,0,0,1,0,0,20260508,20260508
3401_20260509,1,1,1,1,0,0,1,20260509,20260514
3401_20260515,0,0,0,0,1,0,0,20260515,20260515
3401_20260516,1,1,1,1,1,0,1,20260516,20261212
4000_20260402,1,1,1,1,1,1,1,20260402,20261212
4001_20260420,1,1,1,1,1,0,0,20260420,20260424
4001_20260425,0,0,0,0,0,1,1,20260425,20260426
4001_20260427,1,1,1,1,0,0,0,20260427,20260430
4001_20260501,0,0,0,0,1,0,0,20260501,20260501
4001_20260502,0,0,0,0,0,1,1,20260502,20260503
4001_20260504,1,1,1,1,1,0,0,20260504,20260508
4001_20260509,0,0,0,0,0,1,1,20260509,20260510
4001_20260511,1,1,1,1,1,0,0,20260511,20260515
4001_20260516,0,0,0,0,0,1,1,20260516,20260517
4001_20260518,1,1,1,1,1,0,0,20260518,20260522
4001_20260523,0,0,0,0,0,1,1,20260523,20260524
4001_20260525,1,1,1,1,1,0,0,20260525,20260529
4001_20260530,0,0,0,0,0,1,1,20260530,20260531
4001_20260601,1,1,1,1,1,0,0,20260601,20260605
4001_20260606,0,0,0,0,0,1,1,20260606,20260607
4001_20260608,1,1,1,1,1,0,0,20260608,20260612
4001_20260613,0,0,0,0,0,1,1,20260613,20260614
4001_20260615,1,1,1,1,1,0,0,20260615,20260619
4001_20260620,0,0,0,0,0,1,1,20260620,20260621
4001_20260622,1,1,1,1,1,0,0,20260622,20260626
4001_20260627,0,0,0,0,0,1,1,20260627,20260628
4001_20260629,1,1,1,1,1,0,0,20260629,20260703
4001_20260704,0,0,0,0,0,1,1,20260704,20260705
4001_20260706,1,1,1,1,1,0,0,20260706,20260710
4001_20260711,1,1,1,1,1,1,1,20260711,20261212
4100_20260402,1,1,1,1,1,1,0,20260402,20261212
4101_20260402,1,1,1,1,1,1,0,20260402,20261212
4102_20260402,1,1,1,1,1,1,1,20260402,20261212
4103_20260402,1,1,1,1,1,1,1,20260402,20261212
4104_20260402,1,1,1,1,1,1,1,20260402,20261212
4105_20260419,1,1,1,1,1,1,1,20260419,20261212
4106_20260402,1,1,1,1,1,1,1,20260402,20261212
4107_20260402,1,1,1,1,1,1,1,20260402,20261212
4200_20260402,1,1,1,1,1,1,1,20260402,20261212
4400_20251214,1,1,1,1,1,0,0,20251214,20261212
4401_20260201,1,1,1,1,1,1,1,20260201,20261212
4402_20251214,1,1,1,1,1,1,0,20251214,20261212
4403_20251214,1,1,1,1,1,0,0,20251214,20261212
4404_20260102,1,1,1,1,1,1,1,20260102,20261212
4405_20251214,1,1,1,1,1,1,0,20251214,20261212
4406_20251214,1,1,1,1,1,1,0,20251214,20261212
4407_20260102,1,1,1,1,1,1,1,20260102,20261212
4408_20251214,1,1,1,1,1,1,1,20251214,20261212
4409_20251214,1,1,1,1,1,0,0,20251214,20261212
4410_20251214,1,1,1,1,1,1,1,20251214,20261212
4411_20251214,1,1,1,1,1,1,1,20251214,20261212
4412_20251214,1,1,1,1,1,0,0,20251214,20261212
4413_20251214,1,1,1,1,1,0,0,20251214,20261212
4414_20251214,1,1,1,1,1,1,1,20251214,20261212
4415_20251214,1,1,1,1,1,0,0,20251214,20261212
4416_20251214,1,1,1,1,1,1,0,20251214,20261212
4417_20251214,1,1,1,1,1,1,1,20251214,20261212
4418_20260102,1,1,1,1,1,1,1,20260102,20261212
4419_20251214,1,1,1,1,1,0,0,20251214,20261212
4420_20251214,1,1,1,1,1,1,1,20251214,20261212
4421_20251214,1,1,1,1,1,1,1,20251214,20261212
4422_20251214,1,1,1,1,1,1,1,20251214,20261212
4423_20251214,1,1,1,1,1,0,0,20251214,20261212
4424_20251214,1,1,1,1,1,0,0,20251214,20261212
4425_20251214,1,1,1,1,1,1,1,20251214,20261212
4426_20251214,1,1,1,1,1,1,1,20251214,20261212
4427_20251214,1,1,1,1,1,1,1,20251214,20261212
4428_20251214,1,1,1,1,1,1,1,20251214,20261212
4429_20251214,1,1,1,1,1,1,1,20251214,20261212
4430_20251214,1,1,1,1,1,1,1,20251214,20261212
4431_20251214,1,1,1,1,1,1,1,20251214,20261212
4432_20251214,1,1,1,1,1,1,1,20251214,20261212
4433_20260101,1,1,1,1,1,1,1,20260101,20261212
4434_20251214,1,1,1,1,1,0,0,20251214,20261212
4435_20260101,1,1,1,1,1,0,0,20260101,20261212
4436_20251214,1,1,1,1,1,1,1,20251214,20261212
4437_20260228,1,1,1,1,1,1,1,20260228,20261212
4438_20260101,1,1,1,1,1,0,0,20260101,20261212
4440_20260131,1,1,1,1,1,1,1,20260131,20261212
4500_20251214,1,1,1,1,1,0,0,20251214,20261212
4501_20251214,1,1,1,1,1,0,0,20251214,20261212
4502_20251214,1,1,1,1,1,1,0,20251214,20261212
4503_20251214,1,1,1,1,1,0,0,20251214,20261212
4504_20251214,1,1,1,1,1,0,0,20251214,20261212
4505_20260102,1,1,1,1,1,1,1,20260102,20261212
4506_20251214,1,1,1,1,1,1,1,20251214,20261212
4507_20260102,1,1,1,1,1,1,1,20260102,20261212
4508_20251214,1,1,1,1,1,1,1,20251214,20261212
4509_20251214,1,1,1,1,1,0,0,20251214,20261212
4510_20251214,1,1,1,1,1,1,1,20251214,20261212
4511_20251214,1,1,1,1,1,1,1,20251214,20261212
4512_20251214,1,1,1,1,1,1,1,20251214,20261212
4513_20251214,1,1,1,1,1,1,1,20251214,20261212
4514_20251214,1,1,1,1,1,0,0,20251214,20261212
4515_20251214,1,1,1,1,1,1,1,20251214,20261212
4516_20251214,1,1,1,1,1,1,1,20251214,20261212
4517_20251214,1,1,1,1,1,1,1,20251214,20261212
4518_20251214,1,1,1,1,1,1,1,20251214,20261212
4519_20251214,1,1,1,1,1,1,1,20251214,20261212
4520_20251214,1,1,1,1,1,0,1,20251214,20261212
4521_20251214,1,1,1,1,1,0,0,20251214,20261212
4523_20251214,1,1,1,1,1,1,1,20251214,20261212
4601_20251214,1,1,1,1,1,0,0,20251214,20261212
4603_20260102,1,1,1,1,1,1,1,20260102,20261212
4605_20251214,1,1,1,1,1,1,0,20251214,20261212
4607_20251214,1,1,1,1,1,0,0,20251214,20261212
4609_20251214,1,1,1,1,1,0,0,20251214,20261212
4611_20251214,1,1,1,1,1,1,1,20251214,20261212
4613_20251214,1,1,1,1,1,0,0,20251214,20261212
4615_20251214,1,1,1,1,1,0,0,20251214,20261212
4617_20251214,1,1,1,1,1,1,1,20251214,20261212
4619_20251214,1,1,1,1,1,1,1,20251214,20261212
4621_20251214,1,1,1,1,1,0,0,20251214,20261212
4623_20251214,1,1,1,1,1,1,1,20251214,20261212
4625_20251214,1,1,1,1,1,0,0,20251214,20261212
4627_20251214,1,1,1,1,1,1,1,20251214,20261212
4629_20251214,1,1,1,1,1,1,1,20251214,20261212
4631_20251214,1,1,1,1,1,0,0,20251214,20261212
4633_20260101,1,1,1,1,1,1,1,20260101,20261212
4635_20251214,1,1,1,1,1,1,1,20251214,20261212
4650_20251214,1,1,1,1,1,1,0,20251214,20261212
4652_20260102,1,1,1,1,1,1,1,20260102,20261212
4654_20251214,1,1,1,1,1,0,0,20251214,20261212
4656_20251214,1,1,1,1,1,1,1,20251214,20261212
4658_20251214,1,1,1,1,1,0,0,20251214,20261212
4660_20251214,1,1,1,1,1,1,1,20251214,20261212
4662_20251214,1,1,1,1,1,0,0,20251214,20261212
4664_20251214,1,1,1,1,1,1,1,20251214,20261212
4666_20251214,1,1,1,1,1,0,0,20251214,20261212
4668_20251214,1,1,1,1,1,1,1,20251214,20261212
4670_20251214,1,1,1,1,1,0,0,20251214,20261212
4672_20251214,1,1,1,1,1,1,1,20251214,20261212
4674_20251214,1,1,1,1,1,0,0,20251214,20261212
4676_20251214,1,1,1,1,1,1,1,20251214,20261212
4678_20251214,1,1,1,1,1,0,0,20251214,20261212
4680_20251214,1,1,1,1,1,1,1,20251214,20261212
4682_20251214,1,1,1,1,1,0,0,20251214,20261212
4684_20260101,1,1,1,1,1,1,1,20260101,20261212
4801_20251214,1,1,1,1,1,0,0,20251214,20261212
4802_20251214,1,1,1,1,1,0,0,20251214,20261212
5100_20251214,1,1,1,1,1,0,0,20251214,20261212
5101_20251214,1,1,1,1,1,0,0,20251214,20261212
5102_20251214,1,1,1,1,1,0,0,20251214,20261212
5103_20251214,1,1,1,1,1,0,0,20251214,20261212
5104_20251214,1,1,1,1,1,1,0,20251214,20261212
5105_20251214,1,1,1,1,1,1,0,20251214,20261212
5106_20251214,1,1,1,1,1,0,0,20251214,20261212
5107_20251214,1,1,1,1,1,1,1,20251214,20261212
5108_20251214,1,1,1,1,1,0,0,20251214,20261212
5109_20251214,1,1,1,1,1,1,1,20251214,20261212
5110_20251214,1,1,1,1,1,1,1,20251214,20261212
5111_20260102,1,1,1,1,1,1,1,20260102,20261212
5112_20260102,1,1,1,1,1,1,1,20260102,20261212
5113_20251214,1,1,1,1,1,1,1,20251214,20261212
5114_20251214,1,1,1,1,1,1,1,20251214,20261212
5115_20251214,1,1,1,1,1,1,1,20251214,20261212
5116_20251214,1,1,1,1,1,1,1,20251214,20261212
5117_20251214,1,1,1,1,1,1,1,20251214,20261212
5118_20251214,1,1,1,1,1,1,1,20251214,20261212
5119_20260101,1,1,1,1,1,1,1,20260101,20261212
5120_20260101,1,1,1,1,1,1,1,20260101,20261212
5121_20260101,1,1,1,1,1,1,1,20260101,20261212
5122_20251214,1,1,1,1,1,1,1,20251214,20261212
5200_20260102,1,1,1,1,1,1,0,20260102,20261212
5201_20260102,1,1,1,1,1,1,0,20260102,20261212
5202_20260102,1,1,1,1,1,1,1,20260102,20261212
5203_20260102,1,1,1,1,1,1,1,20260102,20261212
5204_20251214,1,1,1,1,1,1,1,20251214,20261212
5205_20251214,1,1,1,1,1,1,1,20251214,20261212
5206_20251214,1,1,1,1,1,1,1,20251214,20261212
5207_20260102,1,1,1,1,1,1,1,20260102,20261212
5208_20260102,1,1,1,1,1,1,1,20260102,20261212
5209_20251214,1,1,1,1,1,1,1,20251214,20261212
5210_20251214,1,1,1,1,1,1,1,20251214,20261212
5211_20251214,1,1,1,1,1,1,1,20251214,20261212
5212_20251214,1,1,1,1,1,1,1,20251214,20261212
5213_20251214,1,1,1,1,1,1,1,20251214,20261212
5214_20260101,1,1,1,1,1,1,1,20260101,20261212
5215_20260101,1,1,1,1,1,1,1,20260101,20261212
5400_20251214,1,1,1,1,1,1,0,20251214,20261212
5401_20251214,1,1,1,1,1,1,1,20251214,20261212
5402_20251214,1,1,1,1,1,1,1,20251214,20261212
5403_20251214,1,1,1,1,1,0,1,20251214,20261212
5404_20251214,1,1,1,1,1,1,1,20251214,20261212
5405_20251214,1,1,1,1,1,1,1,20251214,20261212
5410_20251214,1,0,0,0,0,0,1,20251214,20261212
5420_20251214,1,1,1,1,1,1,0,20251214,20261212
5421_20260102,1,1,1,1,1,1,1,20260102,20261212
5422_20260102,1,1,1,1,0,1,1,20260102,20261212
5423_20260101,1,1,1,1,1,1,1,20260101,20261212
5424_20260101,1,1,1,1,1,1,1,20260101,20261212
5600_20260316,1,1,1,1,1,1,0,20260316,20261212
5601_20260316,1,1,1,1,1,1,1,20260316,20261212
5620_20260316,1,1,1,1,1,1,1,20260316,20261212
5621_20260316,1,1,1,1,1,1,1,20260316,20261212
5622_20260316,1,1,1,1,1,1,1,20260316,20261212
5623_20260316,1,1,1,1,1,1,1,20260316,20261212
5624_20260316,1,1,1,1,1,1,1,20260316,20261212
5625_20260316,1,1,1,1,1,1,1,20260316,20261212
5650_20251214,1,1,1,1,1,0,0,20251214,20261212
5653_20260101,1,1,1,1,1,1,1,20260101,20261212
5671_20260102,1,1,1,1,1,1,1,20260102,20261212
5672_20260102,1,1,1,1,1,1,1,20260102,20261212
5674_20251214,1,1,1,1,1,1,1,20251214,20261212
5675_20251214,1,1,1,1,1,1,1,20251214,20261212
5676_20260101,1,1,1,1,1,1,1,20260101,20261212
5677_20260101,1,1,1,1,1,1,1,20260101,20261212
5682_20251214,1,1,1,1,1,1,1,20251214,20261212
5683_20260102,1,1,1,1,1,1,1,20260102,20261212
5684_20260101,1,1,1,1,1,1,1,20260101,20261212
5685_20251214,1,1,1,1,1,1,1,20251214,20261212
5700_20260102,1,1,1,1,1,1,1,20260102,20261212
5701_20260102,1,1,1,1,1,1,1,20260102,20261212
5702_20260102,1,1,1,1,1,1,1,20260102,20261212
5703_20251214,1,1,1,1,1,0,0,20251214,20261212
5704_20251215,1,1,1,1,1,1,1,20251215,20261212
5705_20251214,1,1,1,1,1,1,1,20251214,20261212
5706_20251214,1,1,1,1,1,1,1,20251214,20261212
5707_20251214,1,1,1,1,1,1,1,20251214,20261212
5708_20251214,1,1,1,1,1,1,1,20251214,20261212
5709_20251214,1,1,1,1,1,0,0,20251214,20261212
5710_20251214,1,1,1,1,1,1,1,20251214,20261212
5711_20251214,1,1,1,1,1,1,1,20251214,20261212
5712_20251214,1,1,1,1,1,1,1,20251214,20261212
5713_20251214,1,1,1,1,1,1,1,20251214,20261212
5714_20251214,1,1,1,1,1,0,0,20251214,20261212
5715_20251214,1,1,1,1,1,1,1,20251214,20261212
5716_20251214,1,1,1,1,1,1,1,20251214,20261212
5717_20251214,1,1,1,1,1,1,1,20251214,20261212
5718_20251214,1,1,1,1,1,1,1,20251214,20261212
5719_20251214,1,1,1,1,1,0,0,20251214,20261212
5720_20251214,1,1,1,1,1,0,0,20251214,20261212
5721_20251214,1,1,1,1,1,1,1,20251214,20261212
5722_20260101,1,1,1,1,1,1,1,20260101,20261212
5723_20251214,1,1,1,1,1,1,1,20251214,20261212
5725_20260101,1,1,1,1,1,1,1,20260101,20261212
5800_20251214,1,1,1,1,1,0,0,20251214,20261212
5801_20251214,1,1,1,1,1,0,0,20251214,20261212
5900_20251214,1,1,1,1,1,1,0,20251214,20261212
5901_20260102,1,1,1,1,1,1,1,20260102,20261212
5902_20260102,1,1,1,1,1,1,1,20260102,20261212
5903_20251214,1,1,1,1,1,1,0,20251214,20261212
5904_20251214,1,1,1,1,1,1,1,20251214,20261212
5905_20251215,1,1,1,1,1,1,1,20251215,20261212
5906_20251214,1,1,1,1,1,1,1,20251214,20261212
5907_20251214,1,1,1,1,1,1,1,20251214,20261212
5908_20251214,1,1,1,1,1,1,1,20251214,20261212
5909_20251214,1,1,1,1,1,1,1,20251214,20261212
5910_20251214,1,1,1,1,1,1,1,20251214,20261212
5911_20251214,1,1,1,1,1,1,1,20251214,20261212
5912_20251214,1,1,1,1,1,0,0,20251214,20261212
5913_20251214,1,1,1,1,1,1,1,20251214,20261212
5914_20251214,1,1,1,1,1,1,1,20251214,20261212
5915_20251214,1,1,1,1,1,0,0,20251214,20261212
5916_20260101,1,1,1,1,1,1,1,20260101,20261212
5917_20260101,1,1,1,1,1,1,1,20260101,20261212
6450_20260322,1,1,1,1,1,1,1,20260322,20261212
6451_20260322,1,1,1,1,1,1,1,20260322,20261212
6455_20260322,1,1,1,1,1,1,1,20260322,20261212
6459_20260322,1,1,1,1,1,1,1,20260322,20261212
10540_20260316,1,1,1,1,1,1,1,20260316,20261212
10541_20260316,1,1,1,1,1,1,1,20260316,20261212
10542_20260316,1,1,1,1,1,1,1,20260316,20261212
10543_20260316,1,1,1,1,1,1,1,20260316,20261212
10544_20260316,1,1,1,1,1,1,1,20260316,20261212
10545_20260316,1,1,1,1,1,1,1,20260316,20261212
11540_20260316,1,1,1,1,1,1,1,20260316,20261212
11541_20260316,1,1,1,1,1,1,1,20260316,20261212
11542_20260316,1,1,1,1,1,1,1,20260316,20261212
11543_20260316,1,1,1,1,1,1,1,20260316,20261212
11544_20260316,1,1,1,1,1,1,1,20260316,20261212
11545_20260316,1,1,1,1,1,1,1,20260316,20261212
15150_20251214,1,1,1,1,1,0,0,20251214,20261212
15151_20251214,1,1,1,1,1,0,0,20251214,20261212
15152_20251226,1,1,1,1,1,1,1,20251226,20261212
15153_20251226,1,1,1,1,1,1,1,20251226,20261212
15154_20251214,1,1,1,1,1,0,0,20251214,20261212
15155_20251214,1,1,1,1,1,1,1,20251214,20261212
15156_20251214,1,1,1,1,1,0,0,20251214,20261212
15157_20251214,1,1,1,1,1,0,0,20251214,20261212
15158_20251214,1,1,1,1,1,0,0,20251214,20261212
15159_20251214,1,1,1,1,1,1,1,20251214,20261212
15160_20251214,1,1,1,1,1,1,1,20251214,20261212
15161_20251214,1,1,1,1,1,0,0,20251214,20261212
15162_20251214,1,1,1,1,1,1,1,20251214,20261212
15163_20251214,1,1,1,1,1,1,1,20251214,20261212
15164_20251214,1,1,1,1,1,1,1,20251214,20261212
15165_20251214,1,1,1,1,1,1,1,20251214,20261212
15166_20251214,1,1,1,1,1,0,0,20251214,20261212
15167_20251214,1,1,1,1,1,1,1,20251214,20261212
15168_20251214,1,1,1,1,1,1,1,20251214,20261212
15169_20251214,1,1,1,1,1,0,0,20251214,20261212
15170_20251214,1,1,1,1,1,1,1,20251214,20261212
15171_20251214,1,1,1,1,1,1,1,20251214,20261212
