line,avg_freq_min,overlap_extension_m,line_extension_m,overlap_pct,overlap_stops,overlap_stop_ids,total_stops,directions_considered,radius_extension_m,radius_extension_pct,radius_m,temporal_overlaps_count,temporal_overlaps_pct,temporal_overlap_stop_ids,temporal_spatial_candidates_count,__meta_smtuc_dataset,__meta_metro_dataset,__meta_walk_speed_m_min,__meta_stadium_lat,__meta_stadium_lon,__meta_radius_m,__meta_spatial_overlap_walk_min,__meta_temporal_overlap_max_min,__meta_sig_smtuc,__meta_sig_metro
14,12.2,0.0,13913.8,0.0,1,506,41,2,0.0,0.0,2000.0,125,81.17,506,154,smtuc,metrobus,80.0,40.203809,-8.407904,2000.0,3.0,5.0,e62d81153b50f2754bf367efbabcdfcb27d7e526033022d2afbabaebf6a3fb35,37aba5a3f944e0f0cbf25eec2d9bac571fb48f40115d5c72cbe08a8e6aa6b0bd
14T,10.7,480.1,14951.9,3.21,2,474;494,38,3,0.0,0.0,2000.0,208,52.0,474;494,400,smtuc,metrobus,80.0,40.203809,-8.407904,2000.0,3.0,5.0,e62d81153b50f2754bf367efbabcdfcb27d7e526033022d2afbabaebf6a3fb35,37aba5a3f944e0f0cbf25eec2d9bac571fb48f40115d5c72cbe08a8e6aa6b0bd
16,50.4,1065.4,64133.3,1.66,6,1583;474;494;768;778;791,111,6,27998.5,43.66,2000.0,26,96.3,1583;474;494;768;778;791,27,smtuc,metrobus,80.0,40.203809,-8.407904,2000.0,3.0,5.0,e62d81153b50f2754bf367efbabcdfcb27d7e526033022d2afbabaebf6a3fb35,37aba5a3f944e0f0cbf25eec2d9bac571fb48f40115d5c72cbe08a8e6aa6b0bd
16F,25.0,1056.5,19174.2,5.51,6,768;778;791;876;883;884,75,2,8024.0,41.85,2000.0,12,100.0,768;778;791;876;883;884,12,smtuc,metrobus,80.0,40.203809,-8.407904,2000.0,3.0,5.0,e62d81153b50f2754bf367efbabcdfcb27d7e526033022d2afbabaebf6a3fb35,37aba5a3f944e0f0cbf25eec2d9bac571fb48f40115d5c72cbe08a8e6aa6b0bd
16G,22.6,825.3,75345.8,1.1,7,1583;474;494;504;768;778;791,127,6,28221.6,37.46,2000.0,39,70.91,1583;474;494;504;768;778;791,55,smtuc,metrobus,80.0,40.203809,-8.407904,2000.0,3.0,5.0,e62d81153b50f2754bf367efbabcdfcb27d7e526033022d2afbabaebf6a3fb35,37aba5a3f944e0f0cbf25eec2d9bac571fb48f40115d5c72cbe08a8e6aa6b0bd
17,40.8,211.3,21596.6,0.98,3,474;495;505,57,3,0.0,0.0,2000.0,32,57.14,474;495;505,56,smtuc,metrobus,80.0,40.203809,-8.407904,2000.0,3.0,5.0,e62d81153b50f2754bf367efbabcdfcb27d7e526033022d2afbabaebf6a3fb35,37aba5a3f944e0f0cbf25eec2d9bac571fb48f40115d5c72cbe08a8e6aa6b0bd
18,30.2,119.1,42510.8,0.28,2,496;505,60,4,0.0,0.0,2000.0,82,85.42,496;505,96,smtuc,metrobus,80.0,40.203809,-8.407904,2000.0,3.0,5.0,e62d81153b50f2754bf367efbabcdfcb27d7e526033022d2afbabaebf6a3fb35,37aba5a3f944e0f0cbf25eec2d9bac571fb48f40115d5c72cbe08a8e6aa6b0bd
18E,196.7,781.4,25762.8,3.03,9,1143;496;505;917;918;923;926;927;944,70,2,0.0,0.0,2000.0,40,100.0,1143;496;505;917;918;923;926;927;944,40,smtuc,metrobus,80.0,40.203809,-8.407904,2000.0,3.0,5.0,e62d81153b50f2754bf367efbabcdfcb27d7e526033022d2afbabaebf6a3fb35,37aba5a3f944e0f0cbf25eec2d9bac571fb48f40115d5c72cbe08a8e6aa6b0bd
18F,46.0,59.5,15703.1,0.38,2,496;505,42,2,0.0,0.0,2000.0,8,29.63,496;505,27,smtuc,metrobus,80.0,40.203809,-8.407904,2000.0,3.0,5.0,e62d81153b50f2754bf367efbabcdfcb27d7e526033022d2afbabaebf6a3fb35,37aba5a3f944e0f0cbf25eec2d9bac571fb48f40115d5c72cbe08a8e6aa6b0bd
19,92.9,0.0,31480.2,0.0,0,,53,4,5684.0,18.06,2000.0,0,0.0,,0,smtuc,metrobus,80.0,40.203809,-8.407904,2000.0,3.0,5.0,e62d81153b50f2754bf367efbabcdfcb27d7e526033022d2afbabaebf6a3fb35,37aba5a3f944e0f0cbf25eec2d9bac571fb48f40115d5c72cbe08a8e6aa6b0bd
19A,25.0,0.0,28368.4,0.0,0,,84,2,4502.2,15.87,2000.0,0,0.0,,0,smtuc,metrobus,80.0,40.203809,-8.407904,2000.0,3.0,5.0,e62d81153b50f2754bf367efbabcdfcb27d7e526033022d2afbabaebf6a3fb35,37aba5a3f944e0f0cbf25eec2d9bac571fb48f40115d5c72cbe08a8e6aa6b0bd
19R,61.5,0.0,32037.9,0.0,0,,66,4,5088.8,15.88,2000.0,0,0.0,,0,smtuc,metrobus,80.0,40.203809,-8.407904,2000.0,3.0,5.0,e62d81153b50f2754bf367efbabcdfcb27d7e526033022d2afbabaebf6a3fb35,37aba5a3f944e0f0cbf25eec2d9bac571fb48f40115d5c72cbe08a8e6aa6b0bd
19T,11.4,0.0,129284.3,0.0,0,,86,12,18148.6,14.04,2000.0,0,0.0,,0,smtuc,metrobus,80.0,40.203809,-8.407904,2000.0,3.0,5.0,e62d81153b50f2754bf367efbabcdfcb27d7e526033022d2afbabaebf6a3fb35,37aba5a3f944e0f0cbf25eec2d9bac571fb48f40115d5c72cbe08a8e6aa6b0bd
20,29.3,0.0,37102.9,0.0,1,506,56,4,0.0,0.0,2000.0,39,69.64,506,56,smtuc,metrobus,80.0,40.203809,-8.407904,2000.0,3.0,5.0,e62d81153b50f2754bf367efbabcdfcb27d7e526033022d2afbabaebf6a3fb35,37aba5a3f944e0f0cbf25eec2d9bac571fb48f40115d5c72cbe08a8e6aa6b0bd
20T,83.0,0.0,24331.5,0.0,1,506,66,3,0.0,0.0,2000.0,5,62.5,506,8,smtuc,metrobus,80.0,40.203809,-8.407904,2000.0,3.0,5.0,e62d81153b50f2754bf367efbabcdfcb27d7e526033022d2afbabaebf6a3fb35,37aba5a3f944e0f0cbf25eec2d9bac571fb48f40115d5c72cbe08a8e6aa6b0bd
21,37.1,633.9,105844.8,0.6,2,474;495,76,7,0.0,0.0,2000.0,39,62.9,474;495,62,smtuc,metrobus,80.0,40.203809,-8.407904,2000.0,3.0,5.0,e62d81153b50f2754bf367efbabcdfcb27d7e526033022d2afbabaebf6a3fb35,37aba5a3f944e0f0cbf25eec2d9bac571fb48f40115d5c72cbe08a8e6aa6b0bd
21A,26.9,633.9,89410.1,0.71,3,474;495;504,88,7,0.0,0.0,2000.0,32,49.23,474;495,65,smtuc,metrobus,80.0,40.203809,-8.407904,2000.0,3.0,5.0,e62d81153b50f2754bf367efbabcdfcb27d7e526033022d2afbabaebf6a3fb35,37aba5a3f944e0f0cbf25eec2d9bac571fb48f40115d5c72cbe08a8e6aa6b0bd
21R,41.5,422.6,100930.5,0.42,2,474;495,73,7,0.0,0.0,2000.0,52,68.42,474;495,76,smtuc,metrobus,80.0,40.203809,-8.407904,2000.0,3.0,5.0,e62d81153b50f2754bf367efbabcdfcb27d7e526033022d2afbabaebf6a3fb35,37aba5a3f944e0f0cbf25eec2d9bac571fb48f40115d5c72cbe08a8e6aa6b0bd
21T,66.2,1036.2,136951.0,0.76,3,474;495;506,88,9,0.0,0.0,2000.0,32,80.0,474;495;506,40,smtuc,metrobus,80.0,40.203809,-8.407904,2000.0,3.0,5.0,e62d81153b50f2754bf367efbabcdfcb27d7e526033022d2afbabaebf6a3fb35,37aba5a3f944e0f0cbf25eec2d9bac571fb48f40115d5c72cbe08a8e6aa6b0bd
22,26.0,191.0,21154.2,0.9,2,474;506,55,3,0.0,0.0,2000.0,63,55.26,474;506,114,smtuc,metrobus,80.0,40.203809,-8.407904,2000.0,3.0,5.0,e62d81153b50f2754bf367efbabcdfcb27d7e526033022d2afbabaebf6a3fb35,37aba5a3f944e0f0cbf25eec2d9bac571fb48f40115d5c72cbe08a8e6aa6b0bd
22F,19.1,0.0,14340.7,0.0,1,506,44,2,0.0,0.0,2000.0,10,21.74,506,46,smtuc,metrobus,80.0,40.203809,-8.407904,2000.0,3.0,5.0,e62d81153b50f2754bf367efbabcdfcb27d7e526033022d2afbabaebf6a3fb35,37aba5a3f944e0f0cbf25eec2d9bac571fb48f40115d5c72cbe08a8e6aa6b0bd
23,31.0,1562.7,32039.5,4.88,9,1143;496;505;917;918;923;926;927;944,46,4,0.0,0.0,2000.0,165,74.32,1143;496;505;917;918;923;926;927;944,222,smtuc,metrobus,80.0,40.203809,-8.407904,2000.0,3.0,5.0,e62d81153b50f2754bf367efbabcdfcb27d7e526033022d2afbabaebf6a3fb35,37aba5a3f944e0f0cbf25eec2d9bac571fb48f40115d5c72cbe08a8e6aa6b0bd
