line,avg_freq_min,overlap_extension_m,line_extension_m,overlap_pct,overlap_stops,overlap_stop_ids,total_stops,directions_considered,radius_extension_m,radius_extension_pct,radius_m,temporal_overlaps_count,temporal_overlaps_pct,temporal_overlap_stop_ids,temporal_spatial_candidates_count,__meta_smtuc_dataset,__meta_metro_dataset,__meta_walk_speed_m_min,__meta_stadium_lat,__meta_stadium_lon,__meta_radius_m,__meta_spatial_overlap_walk_min,__meta_temporal_overlap_max_min,__meta_sig_smtuc,__meta_sig_metro
48,50.0,119.1,60644.8,0.2,2,496;505,95,4,0.0,0.0,2000.0,63,91.3,496;505,69,smtuc,metrobus_fase2,80.0,40.203809,-8.407904,2000.0,3.0,5.0,e62d81153b50f2754bf367efbabcdfcb27d7e526033022d2afbabaebf6a3fb35,20b589f37384105ae41674c2565d5d58d7bda448ec489e156ba29bbf1e5c5a3f
48T,193.3,59.5,15558.2,0.38,2,496;505,51,2,0.0,0.0,2000.0,11,91.67,496;505,12,smtuc,metrobus_fase2,80.0,40.203809,-8.407904,2000.0,3.0,5.0,e62d81153b50f2754bf367efbabcdfcb27d7e526033022d2afbabaebf6a3fb35,20b589f37384105ae41674c2565d5d58d7bda448ec489e156ba29bbf1e5c5a3f
49,28.8,59.5,19753.2,0.3,2,496;505,59,2,0.0,0.0,2000.0,51,89.47,496;505,57,smtuc,metrobus_fase2,80.0,40.203809,-8.407904,2000.0,3.0,5.0,e62d81153b50f2754bf367efbabcdfcb27d7e526033022d2afbabaebf6a3fb35,20b589f37384105ae41674c2565d5d58d7bda448ec489e156ba29bbf1e5c5a3f
49T,13.9,119.1,42714.7,0.28,2,496;505,68,4,0.0,0.0,2000.0,185,85.65,496;505,216,smtuc,metrobus_fase2,80.0,40.203809,-8.407904,2000.0,3.0,5.0,e62d81153b50f2754bf367efbabcdfcb27d7e526033022d2afbabaebf6a3fb35,20b589f37384105ae41674c2565d5d58d7bda448ec489e156ba29bbf1e5c5a3f
5,13.1,5770.6,19839.0,29.09,22,1;1583;319;321;457;466;472;474;479;484;485;487;488;494;588;589;590;602;618;768;778;791,56,3,6102.4,30.76,2000.0,1068,85.71,1;1583;319;321;457;466;472;474;479;484;485;487;488;494;588;589;590;602;618;768;778;791,1246,smtuc,metrobus_fase2,80.0,40.203809,-8.407904,2000.0,3.0,5.0,e62d81153b50f2754bf367efbabcdfcb27d7e526033022d2afbabaebf6a3fb35,20b589f37384105ae41674c2565d5d58d7bda448ec489e156ba29bbf1e5c5a3f
50,21.2,5884.5,62127.7,9.47,11,1;1586;319;321;457;466;479;484;485;487;590,85,5,727.3,1.17,2000.0,317,89.55,1;1586;319;321;457;466;479;484;485;487;590,354,smtuc,metrobus_fase2,80.0,40.203809,-8.407904,2000.0,3.0,5.0,e62d81153b50f2754bf367efbabcdfcb27d7e526033022d2afbabaebf6a3fb35,20b589f37384105ae41674c2565d5d58d7bda448ec489e156ba29bbf1e5c5a3f
50M,52.3,5618.8,56641.6,9.92,13,1;1586;319;321;457;466;475;479;484;485;487;506;590,88,4,727.3,1.28,2000.0,147,97.35,1;1586;319;321;457;466;475;479;484;485;487;506;590,151,smtuc,metrobus_fase2,80.0,40.203809,-8.407904,2000.0,3.0,5.0,e62d81153b50f2754bf367efbabcdfcb27d7e526033022d2afbabaebf6a3fb35,20b589f37384105ae41674c2565d5d58d7bda448ec489e156ba29bbf1e5c5a3f
50S,86.0,4633.1,67349.0,6.88,11,1;1586;319;321;457;466;479;484;485;487;590,102,4,495.5,0.74,2000.0,72,78.26,1;1586;319;321;457;466;479;484;485;487;590,92,smtuc,metrobus_fase2,80.0,40.203809,-8.407904,2000.0,3.0,5.0,e62d81153b50f2754bf367efbabcdfcb27d7e526033022d2afbabaebf6a3fb35,20b589f37384105ae41674c2565d5d58d7bda448ec489e156ba29bbf1e5c5a3f
50T,13.1,15518.3,168703.4,9.2,19,1;1586;319;321;457;458;466;472;474;475;479;484;485;487;488;496;506;589;590,127,13,1855.9,1.1,2000.0,812,79.92,1;1586;319;321;457;458;466;475;479;484;485;487;506;589;590,1016,smtuc,metrobus_fase2,80.0,40.203809,-8.407904,2000.0,3.0,5.0,e62d81153b50f2754bf367efbabcdfcb27d7e526033022d2afbabaebf6a3fb35,20b589f37384105ae41674c2565d5d58d7bda448ec489e156ba29bbf1e5c5a3f
51,67.5,3330.0,57656.1,5.78,10,1;1586;319;321;457;479;484;485;487;590,93,4,231.8,0.4,2000.0,75,96.15,1;1586;319;321;457;466;479;484;485;487;590,78,smtuc,metrobus_fase2,80.0,40.203809,-8.407904,2000.0,3.0,5.0,e62d81153b50f2754bf367efbabcdfcb27d7e526033022d2afbabaebf6a3fb35,20b589f37384105ae41674c2565d5d58d7bda448ec489e156ba29bbf1e5c5a3f
52,52.5,0.0,44398.5,0.0,0,,74,2,0.0,0.0,2000.0,0,0.0,,0,smtuc,metrobus_fase2,80.0,40.203809,-8.407904,2000.0,3.0,5.0,e62d81153b50f2754bf367efbabcdfcb27d7e526033022d2afbabaebf6a3fb35,20b589f37384105ae41674c2565d5d58d7bda448ec489e156ba29bbf1e5c5a3f
